날짜,요일,시간,구장,홈팀,홈팀점수,원정팀,원정팀점수,홈팀승리여부,구분
2023.05.03,수,18:30,대구 삼성 라이온즈 파크,삼성,1,키움,4,False,페넌트레이스
2023.05.04,목,18:30,잠실야구장,두산,3,한화,10,True,페넌트레이스
2023.05.04,목,18:30,인천 SSG 랜더스 필드,SSG,10,KT,2,False,페넌트레이스
2023.05.04,목,18:30,창원NC파크,-,NC  -,경기취소,LG,True,페넌트레이스
2023.05.04,목,18:30,광주-기아 챔피언스필드,-,KIA  -,경기취소,롯데,False,페넌트레이스
2023.05.04,목,18:30,대구 삼성 라이온즈 파크,삼성,14,키움,1,True,페넌트레이스
2023.05.05,금,14:00,창원NC파크,-,NC  -,경기취소,KIA,True,페넌트레이스
2023.05.05,금,14:00,한화생명 이글스 파크,-,한화  -,경기취소,KT,True,페넌트레이스
2023.05.05,금,14:00,잠실야구장,-,두산  -,경기취소,LG,True,페넌트레이스
2023.05.05,금,14:00,고척 스카이돔,키움,1,SSG,3,False,페넌트레이스
2023.05.05,금,14:00,사직야구장,-,롯데  -,경기취소,삼성,False,페넌트레이스
2023.05.06,토,14:00,잠실야구장,-,두산  -,경기취소,LG,True,페넌트레이스
2023.05.06,토,17:00,창원NC파크,-,NC  -,경기취소,KIA,True,페넌트레이스
2023.05.06,토,17:00,한화생명 이글스 파크,-,한화  -,경기취소,KT,True,페넌트레이스
2023.05.06,토,17:00,고척 스카이돔,키움,1,SSG,2,False,페넌트레이스
2023.05.06,토,17:00,사직야구장,-,롯데  -,경기취소,삼성,False,페넌트레이스
2023.05.07,일,14:00,창원NC파크,-,NC  -,경기취소,KIA,True,페넌트레이스
2023.05.07,일,14:00,한화생명 이글스 파크,한화,6,KT,2,True,페넌트레이스
2023.05.07,일,14:00,잠실야구장,두산,1,LG,11,False,페넌트레이스
2023.05.07,일,14:00,고척 스카이돔,키움,6,SSG,7,False,페넌트레이스
2023.05.07,일,14:00,사직야구장,-,롯데  -,경기취소,삼성,False,페넌트레이스
2023.05.09,화,18:30,수원 케이티위즈 파크,KT,4,NC,16,True,페넌트레이스
2023.05.09,화,18:30,사직야구장,롯데,2,두산,5,False,페넌트레이스
2023.05.09,화,18:30,광주-기아 챔피언스필드,KIA,3,SSG,0,True,페넌트레이스
2023.05.09,화,18:30,한화생명 이글스 파크,한화,1,삼성,9,False,페넌트레이스
2023.05.09,화,18:30,잠실야구장,LG,5,키움,4,True,페넌트레이스
2023.05.10,수,18:30,수원 케이티위즈 파크,KT,7,NC,8,False,페넌트레이스
2023.05.10,수,18:30,사직야구장,롯데,3,두산,0,True,페넌트레이스
2023.05.10,수,18:30,광주-기아 챔피언스필드,KIA,3,SSG,5,False,페넌트레이스
2023.05.10,수,18:30,한화생명 이글스 파크,한화,5,삼성,1,True,페넌트레이스
2023.05.10,수,18:30,잠실야구장,LG,1,키움,11,False,페넌트레이스
2023.05.11,목,18:30,수원 케이티위즈 파크,KT,1,NC,4,False,페넌트레이스
2023.05.11,목,18:30,사직야구장,롯데,7,두산,6,True,페넌트레이스
2023.05.11,목,18:30,광주-기아 챔피언스필드,KIA,3,SSG,5,False,페넌트레이스
2023.05.11,목,18:30,한화생명 이글스 파크,한화,4,삼성,0,True,페넌트레이스
2023.05.11,목,18:30,잠실야구장,LG,1,키움,0,True,페넌트레이스
2023.05.12,금,18:30,인천 SSG 랜더스 필드,SSG,2,한화,5,False,페넌트레이스
2023.05.12,금,18:30,잠실야구장,두산,6,KIA,1,True,페넌트레이스
2023.05.12,금,18:30,대구 삼성 라이온즈 파크,삼성,4,LG,0,True,페넌트레이스
2023.05.12,금,18:30,수원 케이티위즈 파크,KT,2,롯데,1,True,페넌트레이스
2023.05.12,금,18:30,고척 스카이돔,키움,7,NC,4,True,페넌트레이스
2023.05.13,토,17:00,인천 SSG 랜더스 필드,SSG,8,한화,5,True,페넌트레이스
2023.05.13,토,17:00,잠실야구장,두산,5,KIA,1,True,페넌트레이스
2023.05.13,토,17:00,대구 삼성 라이온즈 파크,삼성,4,LG,7,False,페넌트레이스
2023.05.13,토,17:00,수원 케이티위즈 파크,KT,0,롯데,5,False,페넌트레이스
2023.05.13,토,17:00,고척 스카이돔,키움,9,NC,2,True,페넌트레이스
2023.05.14,일,14:00,인천 SSG 랜더스 필드,SSG,3,한화,3,False,페넌트레이스
2023.05.14,일,14:00,잠실야구장,두산,8,KIA,4,True,페넌트레이스
2023.05.14,일,14:00,대구 삼성 라이온즈 파크,삼성,5,LG,8,False,페넌트레이스
2023.05.14,일,14:00,수원 케이티위즈 파크,KT,3,롯데,8,False,페넌트레이스
2023.05.14,일,14:00,고척 스카이돔,키움,4,NC,6,False,페넌트레이스
2023.05.16,화,18:30,대구 삼성 라이온즈 파크,삼성,2,KIA,8,False,페넌트레이스
2023.05.16,화,18:30,잠실야구장,LG,7,KT,12,True,페넌트레이스
2023.05.16,화,18:30,한화생명 이글스 파크,한화,1,롯데,3,False,페넌트레이스
2023.05.16,화,18:30,고척 스카이돔,키움,1,두산,4,False,페넌트레이스
2023.05.16,화,18:30,창원NC파크,NC,5,SSG,3,True,페넌트레이스
2023.05.17,수,18:30,대구 삼성 라이온즈 파크,삼성,6,KIA,7,False,페넌트레이스
