,game_id,stadium_code,sports_type,game_date,day_of_week,is_holiday,start_time,end_time,home_team_win,match_type,audience
3031,2986,DG04,농구,2024-11-05,화,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
3032,2987,US04,농구,2024-11-06,수,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
3033,2988,SO06,농구,2024-11-07,목,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
3034,2989,AY01,농구,2024-11-07,목,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
3035,2990,US04,농구,2024-11-08,금,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
3036,2991,DG04,농구,2024-11-08,금,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
3037,2992,SU04,농구,2024-11-09,토,,0 days 14:00:00,0 days 15:20:00,1,정규시즌,
3038,2993,SO07,농구,2024-11-09,토,,0 days 14:00:00,0 days 15:20:00,1,정규시즌,
3039,2994,AY01,농구,2024-11-09,토,,0 days 16:00:00,0 days 17:20:00,0,정규시즌,
3040,2995,WJ01,농구,2024-11-10,일,,0 days 14:00:00,0 days 15:20:00,1,정규시즌,
3041,2996,DG04,농구,2024-11-10,일,,0 days 14:00:00,0 days 15:20:00,0,정규시즌,
3042,2997,SO07,농구,2024-11-10,일,,0 days 16:00:00,0 days 17:20:00,1,정규시즌,
3043,2998,SU04,농구,2024-11-11,월,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
3044,2999,WJ01,농구,2024-11-12,화,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
3045,3000,GY01,농구,2024-11-13,수,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
3046,3001,DG04,농구,2024-11-14,목,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
3047,3002,CW02,농구,2024-11-14,목,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
